Review Title,Review Text,Star Rating,Date,Author,Tokenised_Review
easy way to order cold food from KFC,Ordered a meal from KFC Haslingden rd Blackburn through Just eat the food was  cold when arrived which was acceptable according to just eats based on the information they had just a waste of over 30 pounds I would avoid this combination so nit to be disappointed ,1,2026-03-27,Paul Buckland,meal haslingden rd blackburn eat food cold arrived acceptable according eats based information waste pound avoid combination nit disappointed
Rip off for delivery ,"For a place that has quite high prices, it's disgusting that they add an extra few quid if you order a delivery. You pay the delivery fee but all menu items are increased by around £3 to £5 as well. Disgusting money grabbing. Party bucket for collection £35.99, if you select delivery it's £40.99 and THEN, they charge a delivery free, absolute rip off",1,2025-12-03,Jason Lewis,quite high price disgusting add extra quid delivery pay delivery fee menu item increased around disgusting money grabbing party bucket collection select delivery charge delivery free absolute rip
Great customer service from Emmanuel in…,Great customer service from Emmanuel in the argyle street store,5,2026-03-27,Ceri Smith,great customer service emmanuel argyle street
Why eat chicken there when I found out not natural chickens running free ,Why eat chicken there when I found out it’s lab grown from cells  there was people handing out leaflets outside read it . Went on line its true my meal went straight into bin,1,2026-03-26,Jane .,eat found lab grown cell handing leaflet outside read line true meal straight bin
KFC Macclesfield,"Items missing from order, no chance of getting them replaced as no one answers 'phone number' thats listed. no chance of a refund for the same reason.
I cant leave the house I'm looking after the kids, I'm getting sick and tired of these companies getting away with this lack of service. wont order again cant even get simple orders fulfilled",1,2026-03-26,Simon Baker,item missing chance getting replaced answer phone number listed chance refund reason leave house looking kid getting sick tired company getting away lack service wont simple order fulfilled
"Where not to get a takeaway,KFC Lottebridge Drove","The food was almost cold,chips had been re-heated from lunchtime,not the colour of freshly fried fries.they were very dark brown,and barely warm.
The whole experience of todays KFC was disgusting,not worth reccomending.",1,2026-02-26,Bob Pritchard,food almost coldchips reheated lunchtimenot colour freshly friesthey dark brownand barely warm whole today disgustingnot worth reccomending
Red Chicken lots of it in our Bargain…,"Red Chicken lots of it in our Bargain Buckets
Got home to feed the family and bit into the chicken 50 per-cent of it was't cooked and was red absolute jokers in longwater,Costessey, Norwich",1,2026-03-25,Glen Millar,red lot bargain bucket home feed family bit percent wast cooked red absolute joker longwatercostessey norwich
I love the food is tender and beautiful…,I love the food is tender and beautiful food I recommend this place ,5,2026-03-26,Kenzie Swindon,love food tender beautiful food recommend
Disappointing ,It’s a shame that the coating on your chicken tasted like just bread crum not what I’m used to . I used to love your Kentucky flavers but it seems that you have cut corners . Not the same anymore. And your chips are not good also what happened to the lovely fries . I was very disappointed to get skin on chips and they were cold. Also you need to give the public a choice of non diet drinks. All your drinks were diet free . NOT GOOD . ,1,2026-03-23,Mr. Andrew Thomas Hook,shame coating tasted bread crum love flavers seems cut corner anymore chip happened lovely fry disappointed skin chip cold give public choice non diet drink drink diet free
I have an offer for free two hot wings,"I have an offer for free two hot wings, expire date is 11-11-2025, but now is 11-11-2025, time is 20:25, but the offer is disappear and they indicate the offer is expired....
That day is the last offer day, I cannot use the free two hot wings offer.
Then KFC reply to me, the expire date and time is 11-11-2025 at0:00, so I cannot to use this coupon in apps",1,2025-11-11,Ricky,offer free two hot wing expire date offer disappear indicate offer expired offer cannot free two hot wing offer reply expire date cannot coupon apps
